candidate,campaign,work_ns,baseline_configuration,candidate_configuration,baseline_run_ids,candidate_run_ids,baseline_repetitions,candidate_repetitions,baseline_application_loss_pct_max,candidate_application_loss_pct_max,baseline_saturated,candidate_saturated,baseline_processed_pps_median,candidate_processed_pps_median,baseline_processed_pps_max,candidate_processed_pps_min,formula,improvement_ratio,minimum_improvement_ratio,baseline_receive_syscalls_per_packet,candidate_receive_syscalls_per_packet,baseline_cycles_per_packet,candidate_cycles_per_packet,profile_mechanism_passes,claim_passes,claim_blockers,resume_claim
batched,work_5us,5000,baseline/batch=1,batched/batch=64,claim_baseline_w5_r01_154000pps_burst1_batch1|claim_baseline_w5_r02_154000pps_burst1_batch1|claim_baseline_w5_r03_154000pps_burst1_batch1|claim_baseline_w5_r04_154000pps_burst1_batch1|claim_baseline_w5_r05_154000pps_burst1_batch1,claim_batched_w5_r01_166000pps_burst1_batch64|claim_batched_w5_r02_166000pps_burst1_batch64|claim_batched_w5_r03_166000pps_burst1_batch64|claim_batched_w5_r04_166000pps_burst1_batch64|claim_batched_w5_r05_166000pps_burst1_batch64,5,5,0.0,0.0,True,True,153999.4764941796,165999.34378799406,153999.48058028528,165999.33097842967,candidate_processed_pps_median / baseline_processed_pps_median,1.0779214810789828,1.05,1.0000089285714286,0.2214962121212121,10756.502575487011,10309.329460227273,True,True,,"On two Raspberry Pi 4s over direct 1 GbE, batched sustained 1.08x the processed UDP packet rate of recvfrom at <=0.1% application loss across all five repetitions under a 5 us per-packet processing budget; perf attributed the result to fewer receive syscalls and cycles per packet."
threaded,work_5us,5000,baseline/batch=1,threaded/batch=64,claim_baseline_w5_r01_154000pps_burst1_batch1|claim_baseline_w5_r02_154000pps_burst1_batch1|claim_baseline_w5_r03_154000pps_burst1_batch1|claim_baseline_w5_r04_154000pps_burst1_batch1|claim_baseline_w5_r05_154000pps_burst1_batch1,claim_threaded_w5_r01_186000pps_burst1_batch64|claim_threaded_w5_r02_186000pps_burst1_batch64|claim_threaded_w5_r03_186000pps_burst1_batch64|claim_threaded_w5_r04_186000pps_burst1_batch64|claim_threaded_w5_r05_186000pps_burst1_batch64,5,5,0.0,0.0,True,True,153999.4764941796,185999.34337271808,153999.48058028528,185999.3105377557,candidate_processed_pps_median / baseline_processed_pps_median,1.2077920497330257,1.05,1.0000089285714286,0.2181964285714285,10756.502575487011,17097.30993371212,True,True,,"On two Raspberry Pi 4s over direct 1 GbE, threaded sustained 1.21x the processed UDP packet rate of recvfrom at <=0.1% application loss across all five repetitions under a 5 us per-packet processing budget; perf attributed the result to fewer receive syscalls per packet, with zero kernel ingress loss and zero queue overflow in every repetition."
