topology,campaign,receiver,requested_rate_pps,mode,burst_size,batch_size,payload_size,duration_seconds,work_ns,sample_every,repetitions,all_repetitions_sustainable,all_repetitions_valid,offered_pps_median,offered_pps_q25,offered_pps_q75,received_pps_median,received_pps_q25,received_pps_q75,processed_pps_median,processed_pps_q25,processed_pps_q75,achieved_sender_rate_pps_median,achieved_sender_rate_pps_q25,achieved_sender_rate_pps_q75,sender_runtime_seconds_median,sender_runtime_seconds_q25,sender_runtime_seconds_q75,send_attempts_median,send_attempts_q25,send_attempts_q75,send_successes_median,send_successes_q25,send_successes_q75,send_failures_median,send_failures_q25,send_failures_q75,received_packets_median,received_packets_q25,received_packets_q75,processed_packets_median,processed_packets_q25,processed_packets_q75,ingress_loss_median,ingress_loss_q25,ingress_loss_q75,application_loss_median,application_loss_q25,application_loss_q75,ingress_loss_pct_median,ingress_loss_pct_q25,ingress_loss_pct_q75,application_loss_pct_median,application_loss_pct_q25,application_loss_pct_q75,sequence_gap_loss_median,sequence_gap_loss_q25,sequence_gap_loss_q75,duplicates_median,duplicates_q25,duplicates_q75,reordered_median,reordered_q25,reordered_q75,processed_sequence_gaps_median,processed_sequence_gaps_q25,processed_sequence_gaps_q75,udp_rcvbuf_errors_delta_median,udp_rcvbuf_errors_delta_q25,udp_rcvbuf_errors_delta_q75,nic_rx_dropped_delta_median,nic_rx_dropped_delta_q25,nic_rx_dropped_delta_q75,nic_rx_errors_delta_median,nic_rx_errors_delta_q25,nic_rx_errors_delta_q75,nic_rx_missed_errors_delta_median,nic_rx_missed_errors_delta_q25,nic_rx_missed_errors_delta_q75,spsc_overflow_median,spsc_overflow_q25,spsc_overflow_q75,receive_syscalls_median,receive_syscalls_q25,receive_syscalls_q75,sampled_packets_median,sampled_packets_q25,sampled_packets_q75,requested_receive_buffer_bytes_median,requested_receive_buffer_bytes_q25,requested_receive_buffer_bytes_q75,observed_receive_buffer_bytes_median,observed_receive_buffer_bytes_q25,observed_receive_buffer_bytes_q75,requested_send_buffer_bytes_median,requested_send_buffer_bytes_q25,requested_send_buffer_bytes_q75,observed_send_buffer_bytes_median,observed_send_buffer_bytes_q25,observed_send_buffer_bytes_q75,drain_duration_ns_median,drain_duration_ns_q25,drain_duration_ns_q75,queue_depth_at_shutdown_median,queue_depth_at_shutdown_q25,queue_depth_at_shutdown_q75,socket_pending_bytes_at_shutdown_median,socket_pending_bytes_at_shutdown_q25,socket_pending_bytes_at_shutdown_q75,receive_window_pps_median,receive_window_pps_q25,receive_window_pps_q75,processing_window_pps_median,processing_window_pps_q25,processing_window_pps_q75,packets_per_receive_syscall_median,packets_per_receive_syscall_q25,packets_per_receive_syscall_q75,truncated_packets_median,truncated_packets_q25,truncated_packets_q75,receive_out_of_window_median,receive_out_of_window_q25,receive_out_of_window_q75,nic_rx_pause_delta_median,nic_rx_pause_delta_q25,nic_rx_pause_delta_q75,nic_tx_pause_delta_median,nic_tx_pause_delta_q25,nic_tx_pause_delta_q75,pacing_lateness_p50_ns_median,pacing_lateness_p50_ns_q25,pacing_lateness_p50_ns_q75,pacing_lateness_p99_ns_median,pacing_lateness_p99_ns_q25,pacing_lateness_p99_ns_q75,latency_sample_count_median,latency_sample_count_q25,latency_sample_count_q75,clock_drift_slope_us_per_s_median,clock_drift_slope_us_per_s_q25,clock_drift_slope_us_per_s_q75,receive_latency_min_us_median,receive_latency_min_us_q25,receive_latency_min_us_q75,receive_latency_mean_us_median,receive_latency_mean_us_q25,receive_latency_mean_us_q75,receive_latency_p50_us_median,receive_latency_p50_us_q25,receive_latency_p50_us_q75,receive_latency_p99_us_median,receive_latency_p99_us_q25,receive_latency_p99_us_q75,receive_latency_p999_us_median,receive_latency_p999_us_q25,receive_latency_p999_us_q75,receive_latency_max_us_median,receive_latency_max_us_q25,receive_latency_max_us_q75,receive_latency_std_us_median,receive_latency_std_us_q25,receive_latency_std_us_q75,jitter_p99_us_median,jitter_p99_us_q25,jitter_p99_us_q75,queue_delay_p50_us_median,queue_delay_p50_us_q25,queue_delay_p50_us_q75,queue_delay_p99_us_median,queue_delay_p99_us_q25,queue_delay_p99_us_q75,queue_delay_p999_us_median,queue_delay_p999_us_q25,queue_delay_p999_us_q75,processing_time_p50_us_median,processing_time_p50_us_q25,processing_time_p50_us_q75,processing_time_p99_us_median,processing_time_p99_us_q25,processing_time_p99_us_q75,processing_time_p999_us_median,processing_time_p999_us_q25,processing_time_p999_us_q75,total_latency_p50_us_median,total_latency_p50_us_q25,total_latency_p50_us_q75,total_latency_p99_us_median,total_latency_p99_us_q25,total_latency_p99_us_q75,total_latency_p999_us_median,total_latency_p999_us_q25,total_latency_p999_us_q75,metrics_with_missing_repetitions
distributed_ethernet,latency_5us,baseline,100000,steady,1,1,64,180.0,5000,101,3,True,True,99999.95004891384,99999.94994641395,99999.95026002475,99999.95004891384,99999.94994641395,99999.95026002475,99999.95004891384,99999.94994641395,99999.95026002475,99999.950049,99999.94994650001,99999.95026000001,180.000089912,180.000089532,180.0000900965,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,0.0,0.0,0.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000034.0,18000033.5,18000035.5,178218.0,178218.0,178218.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.86524193082,100000.86303494827,100000.86596749895,100000.86321522912,100000.860936301,100000.86388912966,0.999998111114679,0.9999980277816743,0.9999981388923533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,198.0,212.5,304.0,304.0,319.5,178218.0,178218.0,178218.0,-0.05397636189686725,-0.05760378983651154,-0.0434920670206446,346.8183902372552,199.57523371791126,571.4322840068967,387.5572259997411,240.42890279136094,612.9512543957853,387.9634667819565,240.70045731209774,613.4762325292891,410.2778407254199,263.2033502272742,635.9854182029576,414.0075452793878,268.53732196469036,639.9868495164905,10852.483949270423,10755.033285383226,11088.702169444852,120.98666556251314,120.75045102351345,123.26792301781822,56.248062230511245,56.20155854277826,56.28554788848511,0.222,0.222,0.222,0.26,0.2595,0.278,0.296,0.28700000000000003,0.2965,5.185,5.185,5.194,5.204,5.204,5.213,7.491970999999845,6.66287699999992,7.5454094999998045,390.444,242.0405,614.9325,413.23582999999996,265.449915,638.37983,416.90304699999996,270.4840704999999,642.3572449999999,
distributed_ethernet,latency_5us,baseline,144000,steady,1,1,64,180.0,5000,101,3,True,True,143999.91795284674,143999.9169528479,143999.91838964625,143994.9381779766,143994.77017037635,143995.01417789818,143994.9381779766,143994.77017037635,143995.01417789818,143999.917953,143999.916953,143999.9183895,180.000102559,180.000102013,180.000103809,25920000.0,25920000.0,25920000.0,25920000.0,25920000.0,25920000.0,0.0,0.0,0.0,25919104.0,25919073.5,25919117.5,25919104.0,25919073.5,25919117.5,896.0,882.5,926.5,896.0,882.5,926.5,0.0034567901234567903,0.0034047067901234566,0.00357445987654321,0.0034567901234567903,0.0034047067901234566,0.00357445987654321,896.0,882.5,926.5,0.0,0.0,0.0,0.0,0.0,0.0,896.0,882.5,926.5,896.0,882.5,926.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25919137.0,25919106.5,25919151.0,256626.0,256625.5,256626.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143996.18802496023,143996.05272645224,143996.29391424524,143996.1847658202,143996.04959331203,143996.29074390064,0.9999987268064648,0.9999987075179059,0.9999987268079631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,213.0,323.0,323.0,326.5,256626.0,256625.5,256626.0,-0.03634000218568724,-0.041775128060215064,1.8867390632588907,1.325763911196077,-73.07171988796728,179.233572232153,283.20486353070476,96.75973063053456,348.76805640620057,270.55289128811137,82.69507557891549,333.9861784187573,427.322453028523,177.27324224986296,479.8297279373813,8449.52939894008,7993.985216011151,8833.687721440976,17660.845668529593,17489.725513945636,17723.890450213785,430.4475317085002,418.23921141568167,431.02229722427376,44.96628862863426,44.85654110902128,45.03204224661332,0.222,0.222,0.2225,0.278,0.278,0.278,0.296,0.296,0.2965,5.203,5.1945,5.2035,5.205,5.2044999999999995,5.2135,7.636125,6.978634499999899,7.8365625,399.604,147.8115,410.66125,430.29876,179.38538,672.783005,8899.627625,8218.9733125,9059.30790449972,
distributed_ethernet,latency_5us,batched,100000,steady,1,64,64,180.0,5000,101,3,True,True,99999.94865058192,99999.94860919309,99999.95085724641,99999.94865058192,99999.94860919309,99999.95085724641,99999.94865058192,99999.94860919309,99999.95085724641,99999.948651,99999.9486095,99999.95085749999,180.000092429,180.000088457,180.0000925035,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,0.0,0.0,0.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5234302.0,5230624.5,5236009.0,178218.0,178218.0,178218.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.86500526006,100000.85674900748,100000.87638434839,100000.85978905897,100000.84574576588,100000.8654577682,3.4388539293300235,3.437733188217415,3.4412733885908713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,200.5,204.5,309.0,307.0,309.5,178218.0,178218.0,178218.0,0.030103927125587033,0.01922640708416834,0.8134802915635672,-167.40286156232537,-210.7364561908573,-60.32572419718623,-132.29258562237172,-133.63851303719952,-25.516737566129947,-135.27877084882425,-138.80875255265875,-26.967569418886143,-21.292474547633375,-67.30878895798364,41.16309008479191,10.09313035365163,-49.80963380636475,58.91002581330636,8251.68564363331,8051.314427053088,8395.043360052334,88.0665878450772,87.66383241863369,94.81619060063953,42.21039990977316,41.83168488015001,42.6073357678863,5.63,5.63,5.638999999999999,26.796,26.796,26.796,26.87,26.861,26.8795,5.185,5.185,5.185,5.204,5.204,5.213,7.77387699999992,7.5404239999998826,7.77593849999996,83.299,-16.263499999999993,90.8735,117.705,10.4345,118.322,122.29352799999994,14.78778749999995,125.30798449999969,
distributed_ethernet,latency_5us,batched,156000,steady,1,64,64,180.0,5000,101,3,True,True,155999.9051607243,155999.90506452444,155999.90817022076,155994.03830523175,155993.98307751116,155994.18562356074,155994.03830523175,155993.98307751116,155994.18562356074,155999.905161,155999.9050645,155999.9081705,180.00010943,180.0001059575,180.000109541,28080000.0,28080000.0,28080000.0,28080000.0,28080000.0,28080000.0,0.0,0.0,0.0,28078944.0,28078933.5,28078970.5,28078944.0,28078933.5,28078970.5,1056.0,1029.5,1066.5,1056.0,1029.5,1066.5,0.0037606837606837607,0.0036663105413105414,0.003798076923076923,0.0037606837606837607,0.0036663105413105414,0.003798076923076923,1056.0,1029.5,1066.5,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,1029.5,1066.5,1056.0,1029.5,1066.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4512397.0,4504004.5,4517015.5,278009.0,278009.0,278009.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155995.487329098,155995.4353668584,155995.63608526997,155995.46099336902,155995.40439240227,155995.61197984073,6.222618045353722,6.21626444365963,6.23424278564395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,212.0,215.5,331.0,325.5,331.0,278009.0,278009.0,278009.0,0.04368013105182987,-0.05397035078014635,0.3537411439382982,-55.91681800618826,-118.16255932453606,356.44713415081617,73.48864456022461,-26.884640797964636,452.73388362454085,42.36691533059661,-49.01413463299947,430.6016712184525,331.807383621357,115.5863843865813,596.0530434092824,5736.0119624700965,5464.540429227058,5831.428396900301,15731.427068833302,15428.467831000953,15933.38831459625,336.01826876657657,332.4366184576446,345.9758689689448,49.22655868308447,47.74526489386015,50.050829859177725,16.111,16.111,16.111,37.37,37.361,37.38849999999999,133.0188560000005,130.25042400000027,143.50948000000182,5.185,5.185,5.185,5.204,5.204,5.204,7.795848000000523,7.684924000000262,7.870420000000275,112.465,-1.0254999999999939,469.5815,460.1232399999992,186.24311999999964,664.9426199999996,5910.446672001217,5638.328536000841,6052.72578000105,
distributed_ethernet,latency_5us,threaded,100000,steady,1,64,64,180.0,5000,101,3,True,True,99999.95087224635,99999.95079002422,99999.95188557872,99999.95087224635,99999.95079002422,99999.95188557872,99999.95087224635,99999.95079002422,99999.95188557872,99999.950872,99999.95079,99999.95188549999,180.00008843,180.000086606,180.000088578,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,0.0,0.0,0.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5140739.0,5140494.5,5146470.5,178218.0,178218.0,178218.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,282778.0,250296.5,284703.5,0.0,0.0,0.0,0.0,0.0,0.0,100000.88100387272,100000.87744908812,100000.88475893917,100000.87321540277,100000.86532415508,100000.87388402555,3.501442107837025,3.497546974175521,3.5016086566615696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,198.5,206.5,309.0,305.5,314.0,178218.0,178218.0,178218.0,-0.006326665317996116,-0.014518297584024906,0.013228623448830055,347.665665040858,83.80901493770614,352.67937048366014,380.2634909256737,119.13069606229737,386.6062121466372,381.20911601853663,120.11633734207271,387.53904406414676,403.6974101743408,142.90169109028653,410.02363853348766,407.2442967981678,146.45549218480443,413.46819684693435,464.566,190.03325632012684,470.3785,12.719556697748688,12.71696089403202,12.793624056950812,48.119022894516206,48.09143463617275,48.27471491434687,5.76,5.731999999999999,5.778499999999999,26.833,26.8055,26.8335,26.963,26.926000000000002,26.963,5.185,5.185,5.185,5.222,5.222,5.222,5.334,5.3335,5.343,396.265,137.5695,403.399,415.61782999999997,157.06698999999998,422.45083,419.378349,161.3119575,426.163915,
distributed_ethernet,latency_5us,threaded,180000,steady,1,64,64,180.0,5000,101,3,True,True,179999.89169906516,179999.889385068,179999.89691255917,179999.89169906516,179999.889385068,179999.89691255917,179999.89169906516,179999.889385068,179999.89691255917,179999.891699,179999.889385,179999.8969125,180.000108301,180.0001030875,180.000110615,32400000.0,32400000.0,32400000.0,32400000.0,32400000.0,32400000.0,0.0,0.0,0.0,32400000.0,32400000.0,32400000.0,32400000.0,32400000.0,32400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4209522.0,4206608.5,4209721.5,320793.0,320793.0,320793.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,4194304.0,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,293444.0,293194.0,297018.0,0.0,0.0,0.0,0.0,0.0,0.0,180001.56897267586,180001.56369508416,180001.56925018068,180001.52799097076,180001.5227868827,180001.5311390243,7.696835887780133,7.696471149639057,7.7021704164172125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,232.5,241.5,353.0,346.5,356.5,320793.0,320793.0,320793.0,-0.03252177718460374,-0.03892205597087155,-0.024466333219609077,57.63403430297394,53.96542297297539,212.9793039302445,102.5394581989085,97.3689879003293,256.49345305336544,102.54525258634504,97.39640457560043,256.512990397668,141.02849115717936,135.8136191364509,294.89024709055155,148.21571978735784,142.16218546127348,301.311006185484,193.30384623757558,183.81192311878777,349.63422485206496,15.242556651516907,15.227882221953251,15.30279094691528,41.4579814755957,41.420986063976585,41.66197783632032,21.889,21.8795,21.972,49.27944000000029,49.10272000000015,49.380720000000146,12737.056695999476,12713.760999999631,12741.477435999408,5.185,5.185,5.185,5.222,5.222,5.222,5.337535999999731,5.335767999999865,5.585267999999866,128.027,123.603,281.4035,158.59208000000004,153.63908000000004,311.80054,12846.26874399965,12810.363571999773,12998.97910399978,
