seq,tx_ts,rx_ts,latency_ns
144,1763689448664341043,1763689448664258686,-82357
145,1763689448665399434,1763689448665318086,-81348
146,1763689448666459769,1763689448666378172,-81597
147,1763689448667519863,1763689448667439016,-80847
148,1763689448668579773,1763689448668497287,-82486
149,1763689448669639478,1763689448669557299,-82179
150,1763689448670700406,1763689448670618180,-82226
151,1763689448671760204,1763689448671679321,-80883
152,1763689448672819854,1763689448672737463,-82391
153,1763689448673879652,1763689448673798233,-81419
154,1763689448674940395,1763689448674858726,-81669
155,1763689448676000267,1763689448675919127,-81140
156,1763689448677059936,1763689448676977397,-82539
157,1763689448678119715,1763689448678037483,-82232
158,1763689448679180439,1763689448679099235,-81204
159,1763689448680240367,1763689448680159061,-81306
160,1763689448681300073,1763689448681217758,-82315
161,1763689448682359760,1763689448682277677,-82083
162,1763689448683420336,1763689448683338873,-81463
163,1763689448684480041,1763689448684399570,-80471
164,1763689448685539876,1763689448685457526,-82350
165,1763689448686600675,1763689448686518797,-81878
166,1763689448687660454,1763689448687579604,-80850
167,1763689448688720178,1763689448688638005,-82173
168,1763689448689779939,1763689448689699794,-80145
169,1763689448690840608,1763689448690759935,-80673
170,1763689448691900406,1763689448691819206,-81200
171,1763689448692960056,1763689448692878717,-81339
172,1763689448694019780,1763689448693937395,-82385
173,1763689448695080523,1763689448694998333,-82190
174,1763689448696139117,1763689448696057974,-81143
175,1763689448697197693,1763689448697115244,-82449
176,1763689448698256028,1763689448698173311,-82717
177,1763689448699316104,1763689448699236638,-79466
178,1763689448700376069,1763689448700293668,-82401
179,1763689448701435886,1763689448701354124,-81762
180,1763689448702496740,1763689448702415024,-81716
181,1763689448703556575,1763689448703475258,-81317
182,1763689448704616373,1763689448704534343,-82030
183,1763689448705676060,1763689448705593929,-82131
184,1763689448706736858,1763689448706655570,-81288
185,1763689448707796656,1763689448707715266,-81390
186,1763689448708856343,1763689448708774407,-81936
187,1763689448709916160,1763689448709833771,-82389
188,1763689448710976903,1763689448710894708,-82195
189,1763689448712036719,1763689448711955312,-81407
190,1763689448713096517,1763689448713014527,-81990
191,1763689448714155945,1763689448714073613,-82332
192,1763689448715216651,1763689448715140958,-75693
193,1763689448716275153,1763689448716193988,-81165
